Name	InChIKey	SMILES	RT
3,4,5-Trihydroxystilbene	LUKBXSAWLPMMSZ-UHFFFAOYSA-N	OC1=CC=C(C=CC2=CC(O)=CC(O)=C2)C=C1	5
trans-pterostilbene	VLEUZFDZJKSGMX-UHFFFAOYSA-N	COC1=CC(C=CC2=CC=C(O)C=C2)=CC(OC)=C1	8.02
E-Resveratrol trimethyl ether	GDHNBPHYVRHYCC-UHFFFAOYSA-N	COC1=CC=C(C=CC2=CC(OC)=CC(OC)=C2)C=C1	9.6
Triacetyl resveratrol	PDAYUJSOJIMKIS-UHFFFAOYSA-N	CC(=O)OC1=CC=C(C=CC2=CC(OC(C)=O)=CC(OC(C)=O)=C2)C=C1	8.46
trans-piceid	HSTZMXCBWJGKHG-UHFFFAOYNA-N	OCC1OC(OC2=CC(C=CC3=CC=C(O)C=C3)=CC(O)=C2)C(O)C(O)C1O	4.05
Pseudojervine	HYDDDNUKNMMWBD-UHFFFAOYNA-N	CC1C2NCC(C)CC2OC11CCC2C3CC=C4CC(CCC4(C)C3C(=O)C2=C1C)OC1OC(CO)C(O)C(O)C1O	4.01
Digitonin	UVYVLBIGDKGWPX-UHFFFAOYNA-N	CC1C2C(OC11CCC(C)CO1)C(O)C1C3CCC4CC(OC5OC(CO)C(OC6OC(CO)C(O)C(OC7OCC(O)C(O)C7O)C6OC6OC(CO)C(O)C(OC7OC(CO)C(O)C(O)C7O)C6O)C(O)C5O)C(O)CC4(C)C3CCC21C	6.99
N-Acetylsolasodine	JXAZKNVJWYDQJY-UHFFFAOYNA-N	CC1C2C(CC3C4CC=C5CC(O)CCC5(C)C4CCC23C)OC11CCC(C)CN1C(C)=O	7.36
O-Acetylsolasodine	MCQNPWNREVNWDQ-UHFFFAOYNA-N	CC1C2C(CC3C4CC=C5CC(CCC5(C)C4CCC23C)OC(C)=O)OC11CCC(C)CN1	8.16
Bergenin	YWJXCIXBAKGUKZ-UHFFFAOYNA-N	COC1=C(O)C2=C(C=C1O)C(=O)OC1C(O)C(O)C(CO)OC21	2.86
Hydrocotarnine	XXANNZJIZQTCBP-UHFFFAOYSA-N	COC1=C2CN(C)CCC2=CC2=C1OCO2	3.33
(-)-B-Hydrastine	JZUTXVTYJDCMDU-UHFFFAOYNA-N	COC1=C(OC)C2=C(C=C1)C(OC2=O)C1N(C)CCC2=C1C=C1OCOC1=C2	4.21
4-Aminoantipyrin	RLFWWDJHLFCNIJ-UHFFFAOYSA-N	CN1N(C(=O)C(N)=C1C)C1=CC=CC=C1	2.76
Vanillin acetate	PZSJOBKRSVRODF-UHFFFAOYSA-N	COC1=C(OC(C)=O)C=CC(C=O)=C1	5.59
4-Hydroxyquinoline	PMZDQRJGMBOQBF-UHFFFAOYSA-N	OC1=CC=NC2=C1C=CC=C2	2.93
Schizandrin	YEFOAORQXAOVJQ-UHFFFAOYNA-N	COC1=CC2=C(C(OC)=C1OC)C1=C(OC)C(OC)=C(OC)C=C1CC(C)(O)C(C)C2	7.59
Iso-gamma-fagarine	VNBUMBNLPGLBML-UHFFFAOYSA-N	COC1=CC=CC2=C1N(C)C1=C(C=CO1)C2=O	5.59
Atractylenolide III	FBMORZZOJSDNRQ-UHFFFAOYNA-N	CC1=C2CC3C(=C)CCCC3(C)CC2(O)OC1=O	7.91
Amygdalin	XUCIJNAGGSZNQT-UHFFFAOYNA-N	OCC1OC(OCC2OC(OC(C#N)C3=CC=CC=C3)C(O)C(O)C2O)C(O)C(O)C1O	3.32
Procaine	MFDFERRIHVXMIY-UHFFFAOYSA-N	CCN(CC)CCOC(=O)C1=CC=C(N)C=C1	2.75
Aristolochic acid B	MEEXETVZNQYRSP-UHFFFAOYSA-N	OC(=O)C1=CC2=C(OCO2)C2=C1C(=CC1=CC=CC=C21)[N+]([O-])=O	7.55
Aristolochic acid C	NBFGYDJKTHENDP-UHFFFAOYSA-N	OC(=O)C1=CC2=C(OCO2)C2=C1C(=CC1=CC=C(O)C=C21)[N+]([O-])=O	5.96
Gallic acid	LNTHITQWFMADLM-UHFFFAOYSA-N	OC(=O)C1=CC(O)=C(O)C(O)=C1	2.04
Paeonol	UILPJVPSNHJFIK-UHFFFAOYSA-N	COC1=CC=C(C(C)=O)C(O)=C1	6.57
Oxyacanthine	HGNHIFJNOKGSKI-UHFFFAOYNA-N	COC1=CC2=C3C(CC4=CC=C(OC5=CC(CC6N(C)CCC7=CC(OC)=C(OC3=C1OC)C=C67)=CC=C5O)C=C4)N(C)CC2	3.76
Thalsimidine	CLDCTFPNFRITPI-UHFFFAOYNA-N	COC1=CC=C2CC3N(C)CCC4=C(O)C(OC)=C(OC)C(OC5=C(OC)C=C6CCN=C(CC7=CC=C(OC1=C2)C=C7)C6=C5)=C34	3.96
(S,S)-(+)-Tetrandrine	WVTKBKWTSCPRNU-UHFFFAOYNA-N	COC1=CC=C2CC3N(C)CCC4=C3C(OC3=CC5=C(CCN(C)C5CC5=CC=C(OC1=C2)C=C5)C=C3OC)=C(OC)C(OC)=C4	4.19
Seco-isolariciresinol diglucoside	SBVBJPHMDABKJV-UHFFFAOYNA-N	COC1=C(O)C=CC(CC(COC2OC(CO)C(O)C(O)C2O)C(COC2OC(CO)C(O)C(O)C2O)CC2=CC(OC)=C(O)C=C2)=C1	3.67
Enterolactone	HVDGDHBAMCBBLR-UHFFFAOYNA-N	OC1=CC(CC2COC(=O)C2CC2=CC(O)=CC=C2)=CC=C1	6.18
Matairesinol	MATGKVZWFZHCLI-UHFFFAOYNA-N	COC1=CC(CC2COC(=O)C2CC2=CC=C(O)C(OC)=C2)=CC=C1O	5.96
Arctigenin	NQWVSMVXKMHKTF-UHFFFAOYNA-N	COC1=CC=C(CC2COC(=O)C2CC2=CC=C(O)C(OC)=C2)C=C1OC	6.63
Enterodiol	DWONJCNDULPHLV-UHFFFAOYNA-N	OCC(CC1=CC(O)=CC=C1)C(CO)CC1=CC(O)=CC=C1	5.26
Secoisolariciresinol	PUETUDUXMCLALY-UHFFFAOYNA-N	COC1=CC(CC(CO)C(CO)CC2=CC=C(O)C(OC)=C2)=CC=C1O	4.76
Justicidin G	VINGQMQXGDIELG-UHFFFAOYSA-N	COC1=C2OCOC2=CC2=C(C3=C(C=C12)C(=O)OC3)C1=CC2=C(OCO2)C=C1	8.93
Jusmicranthin ethyl ether	JJXCEOLNFSCNNE-UHFFFAOYNA-N	CCOC1OC(=O)C2=C1C(C1=CC3=C(OCO3)C=C1)=C1C3=C(OCO3)C=CC1=C2	8.82
Carbazochrome sulfonate	OZCACMPSTYQSMM-UHFFFAOYNA-N	CN1C(CC2=CC(=NNC(O)=N)C(=O)C=C12)S(O)(=O)=O	2.69
Gelsenicine	BIGABVPVCRHEES-UHFFFAOYNA-N	CCC1=NC2CC3(C4CC1C2CO4)C(=O)N(OC)C1=C3C=CC=C1	3.99
Gramine	OCDGBSUVYYVKQZ-UHFFFAOYSA-N	CN(C)CC1=CNC2=CC=CC=C12	3.06
Koumine	VTLYEMHGPMGUOT-UHFFFAOYNA-N	CN1CC2(C=C)C3CC4OCC3C1CC21C4=NC2=CC=CC=C12	3.58
Gardneramine	RIMDDIPKIZTBHU-UHFFFAOYNA-N	COCC=C1CN2C3CC45C2CC1C3COC4=NC1=C5C(OC)=C(OC)C=C1OC	3.82
Gentiopicroside	DUAGQYUORDTXOR-UHFFFAOYNA-N	OCC1OC(OC2OC=C3C(=O)OCC=C3C2C=C)C(O)C(O)C1O	3.44
Swertiamarin	HEYZWPRKKUGDCR-UHFFFAOYNA-N	OCC1OC(OC2OC=C3C(=O)OCCC3(O)C2C=C)C(O)C(O)C1O	3.2
1-Isothiocyanato-4-(methylsulfinyl)-butane	SUVMJBTUFCVSAD-UHFFFAOYNA-N	CS(=O)CCCCN=C=S	3.69
1-Methylsulfinylbutenyl isothiocyante	QKGJFQMGPDVOQE-UHFFFAOYNA-N	CS(=O)C=CCCN=C=S	3.77
7-Methylsulfenylheptyl isothiocyanate	LDIRGNDMTOGVRB-UHFFFAOYSA-N	CSCCCCCCCN=C=S	9.19
Ginkgolide B	SQOJOAFXDQDRGF-UHFFFAOYNA-N	CC1C(=O)OC2C(O)C34C5CC(C(C)(C)C)C33C(O)C(=O)OC3OC4(C(=O)O5)C12O	5.36
Ginkgolide C	AMOGMTLMADGEOQ-UHFFFAOYNA-N	CC1C(=O)OC2C(O)C34C5OC(=O)C3(OC3OC(=O)C(O)C43C(C5O)C(C)(C)C)C12O	4.33
Gossypetin-8-C-glucoside	SJRXVLUZMMDCNG-UHFFFAOYNA-N	OCC1OC(OC2=C(O)C=C(O)C3=C2OC(=C(O)C3=O)C2=CC=C(O)C(O)=C2)C(O)C(O)C1O	4.64
isosakuranetin-7-O-neohesperidoside	NLAWPKPYBMEWIR-UHFFFAOYNA-N	COC1=CC=C(C=C1)C1CC(=O)C2=C(O1)C=C(OC1OC(CO)C(O)C(O)C1OC1OC(C)C(O)C(O)C1O)C=C2O	5.42
isosakuranetin-7-O-rutinoside	RMCRQBAILCLJGU-UHFFFAOYNA-N	COC1=CC=C(C=C1)C1CC(=O)C2=C(O)C=C(OC3OC(COC4OC(C)C(O)C(O)C4O)C(O)C(O)C3O)C=C2O1	5.33
Icariin	TZJALUIVHRYQQB-UHFFFAOYNA-N	COC1=CC=C(C=C1)C1=C(OC2OC(C)C(O)C(O)C2O)C(=O)C2=C(O1)C(CC=C(C)C)=C(OC1OC(CO)C(O)C(O)C1O)C=C2O	5.43
Kaempferol-3-O-robinoside-7-O-rhamnoside	PEFASEPMJYRQBW-UHFFFAOYNA-N	CC1OC(OCC2OC(OC3=C(OC4=C(C(O)=CC(OC5OC(C)C(O)C(O)C5O)=C4)C3=O)C3=CC=C(O)C=C3)C(O)C(O)C2O)C(O)C(O)C1O	3.55
Myricetin-3-O-xyloside	SBEOEJNITMVWLK-UHFFFAOYNA-N	OC1COC(OC2=C(OC3=CC(O)=CC(O)=C3C2=O)C2=CC(O)=C(O)C(O)=C2)C(O)C1O	3.9
Quercetin-3-O-vicianoside	YNMFDPCLPIMRFD-UHFFFAOYNA-N	OC1COC(OCC2OC(OC3=C(OC4=CC(O)=CC(O)=C4C3=O)C3=CC(O)=C(O)C=C3)C(O)C(O)C2O)C(O)C1O	3.7
Kaempferol-3-O-galactoside-6''-rhamnoside-3'''-rha	UYVBMGULWGRDQT-UHFFFAOYNA-N	CC1OC(OC2C(O)C(C)OC(OCC3OC(OC4=C(OC5=CC(O)=CC(O)=C5C4=O)C4=CC=C(O)C=C4)C(O)C(O)C3O)C2O)C(O)C(O)C1O	3.98
Quercetin 3-O-[2''-O-(6'''-O-p-coumaroyl)-b-D-glucopyranosyl]-a-L-rhamnopyranoside	LSMKTLJKBSXMMR-UHFFFAOYNA-N	CC1OC(OC2=C(OC3=CC(O)=CC(O)=C3C2=O)C2=CC(O)=C(O)C=C2)C(OC2OC(COC(=O)C=CC3=CC=C(O)C=C3)C(O)C(O)C2O)C(O)C1O	4.67
7-O-Methylquercetin-3-O-galactoside-6''-rhamnoside	NMGVHLDIHNFGQB-UHFFFAOYNA-N	COC1=CC2=C(C(O)=C1)C(=O)C(OC1OC(COC3OC(C)C(O)C(OC4OC(C)C(O)C(O)C4O)C3O)C(O)C(O)C1O)=C(O2)C1=CC=C(O)C(O)=C1	4.79
Kaempferol-3-O-glucuronoside	FNTJVYCFNVUBOL-UHFFFAOYNA-N	OC1C(O)C(OC2=C(OC3=CC(O)=CC(O)=C3C2=O)C2=CC=C(O)C=C2)OC(C1O)C(O)=O	4.34
Kaempferol-3-O-glucoside-6''-p-coumaroyl	DVGGLGXQSFURLP-UHFFFAOYNA-N	OC1C(COC(=O)C=CC2=CC=C(O)C=C2)OC(OC2=C(OC3=C(C(O)=CC(O)=C3)C2=O)C2=CC=C(O)C=C2)C(O)C1O	5.21
Dihydrokaempferol	PADQINQHPQKXNL-UHFFFAOYNA-N	OC1C(OC2=CC(O)=CC(O)=C2C1=O)C1=CC=C(O)C=C1	4.8
Apigenin-7-O-neohesperidoside	RPMNUQRUHXIGHK-UHFFFAOYNA-N	CC1OC(OC2C(O)C(O)C(CO)OC2OC2=CC(O)=C3C(=O)C=C(OC3=C2)C2=CC=C(O)C=C2)C(O)C(O)C1O	4.34
Acacetin-7-O-rutinoside	YFVGIJBUXMQFOF-UHFFFAOYNA-N	COC1=CC=C(C=C1)C1=CC(=O)C2=C(O1)C=C(OC1OC(COC3OC(C)C(O)C(O)C3O)C(O)C(O)C1O)C=C2O	5.19
Acacetin-7-O-neohesperidoside	MLWDGPFGTFOLRJ-UHFFFAOYNA-N	COC1=CC=C(C=C1)C1=CC(=O)C2=C(O1)C=C(OC1OC(CO)C(O)C(O)C1OC1OC(C)C(O)C(O)C1O)C=C2O	5.26
Diosmetin-7-O-neohesperidoside	VCCNKWWXYVWTLT-UHFFFAOYNA-N	COC1=CC=C(C=C1O)C1=CC(=O)C2=C(O)C=C(OC3OC(CO)C(O)C(O)C3OC3OC(C)C(O)C(O)C3O)C=C2O1	4.47
Flavone	VHBFFQKBGNRLFZ-UHFFFAOYSA-N	O=C1C=C(OC2=C1C=CC=C2)C1=CC=CC=C1	7.75
Baicalein	FXNFHKRTJBSTCS-UHFFFAOYSA-N	OC1=C(O)C(O)=C2C(=O)C=C(OC2=C1)C1=CC=CC=C1	6.4
Wogonin	XLTFNNCXVBYBSX-UHFFFAOYSA-N	COC1=C(O)C=C(O)C2=C1OC(=CC2=O)C1=CC=CC=C1	7.27
Acacetin	DANYIYRPLHHOCZ-UHFFFAOYSA-N	COC1=CC=C(C=C1)C1=CC(=O)C2=C(O1)C=C(O)C=C2O	7.38
Eriodictyol-7-O-glucoside	RAFHNDRXYHOLSH-UHFFFAOYNA-N	OCC1OC(OC2=CC(O)=C3C(=O)CC(OC3=C2)C2=CC(O)=C(O)C=C2)C(O)C(O)C1O	4.09
Naringenin-7-O-rutinoside	HXTFHSYLYXVTHC-UHFFFAOYNA-N	CC1OC(OCC2OC(OC3=CC4=C(C(=O)CC(O4)C4=CC=C(O)C=C4)C(O)=C3)C(O)C(O)C2O)C(O)C(O)C1O	4.28
Naringin	DFPMSGMNTNDNHN-UHFFFAOYNA-N	CC1OC(OC2C(O)C(O)C(CO)OC2OC2=CC(O)=C3C(=O)CC(OC3=C2)C2=CC=C(O)C=C2)C(O)C(O)C1O	4.38
Eriodictyol-7-O-neohesperidoside	OBKKEZLIABHSGY-UHFFFAOYNA-N	CC1OC(OC2C(O)C(O)C(CO)OC2OC2=CC3=C(C(=O)CC(O3)C3=CC=C(O)C(O)=C3)C(O)=C2)C(O)C(O)C1O	4.04
Eriodictyol-7-O-rutinoside	OMQADRGFMLGFJF-UHFFFAOYNA-N	CC1OC(OCC2OC(OC3=CC4=C(C(=O)CC(O4)C4=CC(O)=C(O)C=C4)C(O)=C3)C(O)C(O)C2O)C(O)C(O)C1O	3.92
Hesperetin-7-O-neohesperidoside	ARGKVCXINMKCAZ-UHFFFAOYNA-N	COC1=C(O)C=C(C=C1)C1CC(=O)C2=C(O)C=C(OC3OC(CO)C(O)C(O)C3OC3OC(C)C(O)C(O)C3O)C=C2O1	4.59
Hesperetin-7-O-rutinoside	QUQPHWDTPGMPEX-UHFFFAOYNA-N	COC1=C(O)C=C(C=C1)C1CC(=O)C2=C(O1)C=C(OC1OC(COC3OC(C)C(O)C(O)C3O)C(O)C(O)C1O)C=C2O	4.51
Flavanone	ZONYXWQDUYMKFB-UHFFFAOYNA-N	O=C1CC(OC2=C1C=CC=C2)C1=CC=CC=C1	8.5
2'-Hydroxyflavanone	KZKWCKFDCPVDFJ-UHFFFAOYNA-N	OC1=C(C=CC=C1)C1CC(=O)C2=C(O1)C=CC=C2	7.45
Liquiritin	DEMKZLAVQYISIA-UHFFFAOYNA-N	O=C3C=4C=CC(O)=CC=4(OC(C2=CC=C(OC1OC(CO)C(O)C(O)C1(O))C=C2)C3)	4.08
(+)-Epicatechin	PFTAWBLQPZVEMU-UHFFFAOYNA-N	OC1CC2=C(OC1C1=CC(O)=C(O)C=C1)C=C(O)C=C2O	3.44
Epigallocatechin-3-gallate	WMBWREPUVVBILR-UHFFFAOYNA-N	OC1=CC(O)=C2CC(OC(=O)C3=CC(O)=C(O)C(O)=C3)C(OC2=C1)C1=CC(O)=C(O)C(O)=C1	3.46
Osthole	MBRLOUHOWLUMFF-UHFFFAOYSA-N	COC1=CC=C2C=CC(=O)OC2=C1CC=C(C)C	8.75
Isofraxidin	HOEVRHHMDJKUMZ-UHFFFAOYSA-N	COC1=CC2=C(OC(=O)C=C2)C(OC)=C1O	4.28
7,8-Dihydroxycoumarin	ATEFPOUAMCWAQS-UHFFFAOYSA-N	OC1=C(O)C2=C(C=CC(=O)O2)C=C1	3.65
3-Methoxycinnamic acid	LZPNXAULYJPXEH-UHFFFAOYSA-N	COC1=CC=CC(C=CC(O)=O)=C1	6.03
3,4-Dimethoxycinnamic acid	HJBWJAPEBGSQPR-UHFFFAOYSA-N	COC1=C(OC)C=C(C=CC(O)=O)C=C1	5.18
3,5-Dimethoxycinnamic acid	VLSRUFWCGBMYDJ-UHFFFAOYSA-N	COC1=CC(C=CC(O)=O)=CC(OC)=C1	6.26
3-Hydroxycinnamic acid	KKSDGJDHHZEWEP-UHFFFAOYSA-N	OC(=O)C=CC1=CC=CC(O)=C1	4.42
Piperlongumine	VABYUUZNAVQNPG-UHFFFAOYSA-N	COC1=CC(C=CC(=O)N2CCC=CC2=O)=CC(OC)=C1OC	6.83
cis-Cinnamic acid	WBYWAXJHAXSJNI-UHFFFAOYSA-N	OC(=O)C=CC1=CC=CC=C1	5.42
p-Coumaraldehyde	CJXMVKYNVIGQBS-UHFFFAOYSA-N	OC1=CC=C(C=CC=O)C=C1	4.53
Chalcone	DQFBYFPFKXHELB-UHFFFAOYSA-N	O=C(C=CC1=CC=CC=C1)C1=CC=CC=C1	9.02
2',6'-Dihydroxy-4-methoxychalcone-4'-O-neohesperid	HWRDCYOHJBCWGW-UHFFFAOYNA-N	COC1=CC=C(C=CC(=O)C2=C(O)C=C(OC3OC(CO)C(O)C(O)C3OC3OC(C)C(O)C(O)C3O)C=C2O)C=C1	5.42
Dihydrohesperetin-7-O-neohesperidoside	ITVGXXMINPYUHD-UHFFFAOYNA-N	COC1=C(O)C=C(CCC(=O)C2=C(O)C=C(OC3OC(CO)C(O)C(O)C3OC3OC(C)C(O)C(O)C3O)C=C2O)C=C1	5.07
Ellipticine	CTSPAMFJBXKSOY-UHFFFAOYSA-N	CC1=C2C=CN=CC2=C(C)C2=C1NC1=C2C=CC=C1	4.93
9-Nitro-20(S)-camptothecin	VHXNKPBCCMUMSW-UHFFFAOYNA-N	CCC1(O)C(=O)OCC2=C1C=C1N(CC3=CC4=C(C=CC=C4N(=O)=O)N=C13)C2=O	5.87
Norharman	AIFRHYZBTHREPW-UHFFFAOYSA-N	N1C2=C(C=CC=C2)C2=C1C=NC=C2	3.48
L-Oxonoreleagnine	FZHZQHNKCPJTNQ-UHFFFAOYSA-N	O=C1NCCC2=C1NC1=CC=CC=C21	5.53
Sempervirine	UQVUEULZDJRMJR-UHFFFAOYSA-N	C1CCC2=C[N+]3=C(C=C2C1)C1=C(C=C3)C2=C([N-]1)C=CC=C2	5.23
Evodiamine	TXDUTHBFYKGSAH-UHFFFAOYNA-N	CN1C2N(CCC3=C2NC2=C3C=CC=C2)C(=O)C2=C1C=CC=C2	7.77
Resibufogenin	ATLJNLYIJOCWJE-UHFFFAOYNA-N	CC12CCC3C(CCC4CC(O)CCC34C)C11OC1CC2C1=COC(=O)C=C1	7.56
Bufalin	QEEBRPGZBVVINN-UHFFFAOYNA-N	CC12CCC3C(CCC4CC(O)CCC34C)C1(O)CCC2C1=COC(=O)C=C1	6.99
Cinobufagin	SCULJPGYOQQXTK-UHFFFAOYNA-N	CC(=O)OC1C2OC22C3CCC4CC(O)CCC4(C)C3CCC2(C)C1C1=COC(=O)C=C1	7.51
Magnolol	VVOAZFWZEDHOOU-UHFFFAOYSA-N	OC1=CC=C(CC=C)C=C1C1=CC(CC=C)=CC=C1O	9.21
Honokiol	FVYXIJYOAGAUQK-UHFFFAOYSA-N	OC1=CC=C(C=C1CC=C)C1=C(O)C=CC(CC=C)=C1	8.63
Procyanidin B2	XFZJEEAOWLFHDH-UHFFFAOYNA-N	OC1CC2=C(OC1C1=CC=C(O)C(O)=C1)C(C1C(O)C(OC3=CC(O)=CC(O)=C13)C1=CC=C(O)C(O)=C1)=C(O)C=C2O	3.24
epsilon-Viniferin	FQWLMRXWKZGLFI-UHFFFAOYNA-N	OC1=CC=C(C=CC2=CC(O)=CC3=C2C(C(O3)C2=CC=C(O)C=C2)C2=CC(O)=CC(O)=C2)C=C1	5.81
Silychrystin	BMLIIPOXVWESJG-UHFFFAOYNA-N	COC1=C(O)C=CC(=C1)C1OC2=C(C=C(C=C2O)C2OC3=C(C(O)=CC(O)=C3)C(=O)C2O)C1CO	4.96
